COD_MUNICIPIO,MUNICIPIO,CENSO,VOTANTES
3001,"Atzúbia, l'",392,262
3002,Agost,540,258
3002,Agost,644,336
3002,Agost,440,242
3002,Agost,517,314
3002,Agost,453,254
3002,Agost,509,257
3002,Agost,445,249
3003,Agres,480,313
3004,Aigües,678,391
3005,Albatera,396,259
3005,Albatera,482,262
3005,Albatera,372,230
3005,Albatera,324,207
3005,Albatera,555,303
3005,Albatera,781,421
3005,Albatera,381,233
3005,Albatera,584,311
3005,Albatera,489,295
3005,Albatera,435,274
3005,Albatera,346,230
3005,Albatera,394,261
3005,Albatera,417,275
3005,Albatera,437,287
3005,Albatera,448,296
3005,Albatera,285,190
3005,Albatera,356,248
3006,Alcalalí,858,368
3007,Alcocer de Planes,158,105
3008,Alcoleja,187,124
3009,Alcoi,523,229
3009,Alcoi,544,259
3009,Alcoi,728,363
3009,Alcoi,471,227
3009,Alcoi,525,265
3009,Alcoi,792,374
3009,Alcoi,686,365
3009,Alcoi,669,334
3009,Alcoi,429,204
3009,Alcoi,423,223
3009,Alcoi,398,200
3009,Alcoi,438,242
3009,Alcoi,678,384
3009,Alcoi,640,359
3009,Alcoi,458,249
3009,Alcoi,468,234
3009,Alcoi,565,307
3009,Alcoi,466,235
3009,Alcoi,468,205
3009,Alcoi,648,349
3009,Alcoi,477,240
3009,Alcoi,642,406
3009,Alcoi,508,263
3009,Alcoi,513,285
3009,Alcoi,411,231
3009,Alcoi,423,221
3009,Alcoi,642,308
3009,Alcoi,489,212
3009,Alcoi,376,217
3009,Alcoi,383,212
3009,Alcoi,326,166
3009,Alcoi,582,304
3009,Alcoi,546,267
3009,Alcoi,465,226
3009,Alcoi,460,229
3009,Alcoi,433,221
3009,Alcoi,495,229
3009,Alcoi,481,243
3009,Alcoi,500,257
3009,Alcoi,542,289
3009,Alcoi,449,226
3009,Alcoi,456,227
3009,Alcoi,462,253
3009,Alcoi,493,236
3009,Alcoi,471,258
3009,Alcoi,449,233
3009,Alcoi,407,227
3009,Alcoi,399,179
3009,Alcoi,702,376
3009,Alcoi,638,347
3009,Alcoi,437,211
3009,Alcoi,618,334
3009,Alcoi,705,372
3009,Alcoi,450,233
3009,Alcoi,458,290
3009,Alcoi,414,225
3009,Alcoi,749,429
3009,Alcoi,350,190
3009,Alcoi,598,330
3009,Alcoi,508,260
3009,Alcoi,406,192
3009,Alcoi,596,295
3009,Alcoi,391,229
3009,Alcoi,486,284
3009,Alcoi,558,326
3009,Alcoi,496,279
3009,Alcoi,521,295
3009,Alcoi,511,283
3009,Alcoi,710,346
3009,Alcoi,601,309
3009,Alcoi,463,248
3009,Alcoi,478,232
3009,Alcoi,634,368
3009,Alcoi,571,324
3009,Alcoi,557,315
3009,Alcoi,494,218
3009,Alcoi,414,220
3009,Alcoi,459,279
3009,Alcoi,493,282
3009,Alcoi,332,189
3009,Alcoi,626,325
3009,Alcoi,374,191
3009,Alcoi,491,274
3009,Alcoi,490,230
3009,Alcoi,640,352
3009,Alcoi,630,310
3009,Alcoi,474,243
3009,Alcoi,553,270
3009,Alcoi,589,312
3009,Alcoi,395,228
3009,Alcoi,523,263
3009,Alcoi,541,300
3009,Alcoi,675,390
3010,Alfafara,323,228
3011,"Alfàs del Pi, l'",383,144
3011,"Alfàs del Pi, l'",320,163
3011,"Alfàs del Pi, l'",365,154
3011,"Alfàs del Pi, l'",315,203
3011,"Alfàs del Pi, l'",389,148
3011,"Alfàs del Pi, l'",588,219
3011,"Alfàs del Pi, l'",320,167
3011,"Alfàs del Pi, l'",475,167
3011,"Alfàs del Pi, l'",423,165
3011,"Alfàs del Pi, l'",344,183
3011,"Alfàs del Pi, l'",382,184
3011,"Alfàs del Pi, l'",542,234
3011,"Alfàs del Pi, l'",456,165
3011,"Alfàs del Pi, l'",370,154
3011,"Alfàs del Pi, l'",494,225
3011,"Alfàs del Pi, l'",588,216
3011,"Alfàs del Pi, l'",633,215
3011,"Alfàs del Pi, l'",507,170
3011,"Alfàs del Pi, l'",280,133
3011,"Alfàs del Pi, l'",372,201
3011,"Alfàs del Pi, l'",259,132
3011,"Alfàs del Pi, l'",407,192
3012,Algorfa,691,341
3012,Algorfa,732,368
3013,Algueña,504,311
3013,Algueña,682,447
3014,Alacant,696,354
3014,Alacant,495,255
3014,Alacant,437,195
3014,Alacant,525,232
3014,Alacant,671,365
3014,Alacant,469,260
3014,Alacant,375,170
3014,Alacant,648,341
3014,Alacant,405,194
3014,Alacant,502,257
3014,Alacant,543,271
3014,Alacant,488,187
3014,Alacant,663,361
3014,Alacant,437,226
3014,Alacant,506,227
3014,Alacant,420,230
3014,Alacant,396,185
3014,Alacant,559,204
3014,Alacant,559,234
3014,Alacant,560,240
3014,Alacant,657,326
3014,Alacant,489,238
3014,Alacant,592,275
3014,Alacant,362,158
3014,Alacant,419,238
3014,Alacant,513,283
3014,Alacant,670,315
3014,Alacant,513,288
3014,Alacant,433,184
3014,Alacant,670,332
3014,Alacant,324,168
3014,Alacant,336,176
3014,Alacant,500,257
3014,Alacant,551,275
3014,Alacant,556,284
3014,Alacant,456,245
3014,Alacant,478,237
3014,Alacant,538,310
3014,Alacant,449,217
3014,Alacant,403,197
3014,Alacant,496,227
3014,Alacant,400,201
3014,Alacant,472,266
3014,Alacant,497,292
3014,Alacant,573,290
3014,Alacant,542,284
3014,Alacant,420,221
3014,Alacant,468,226
3014,Alacant,664,342
3014,Alacant,478,233
3014,Alacant,542,227
3014,Alacant,557,234
3014,Alacant,508,269
3014,Alacant,508,227
3014,Alacant,468,222
3014,Alacant,390,156
3014,Alacant,464,241
3014,Alacant,686,357
3014,Alacant,703,326
3014,Alacant,583,240
3014,Alacant,370,148
3014,Alacant,576,260
3014,Alacant,466,222
3014,Alacant,526,256
3014,Alacant,428,201
3014,Alacant,461,181
3014,Alacant,551,272
3014,Alacant,371,187
3014,Alacant,619,263
3014,Alacant,486,173
3014,Alacant,546,206
3014,Alacant,667,322
3014,Alacant,426,165
3014,Alacant,640,313
3014,Alacant,475,253
3014,Alacant,525,249
3014,Alacant,429,195
3014,Alacant,583,309
3014,Alacant,498,246
3014,Alacant,434,246
3014,Alacant,448,211
3014,Alacant,551,224
3014,Alacant,379,178
3014,Alacant,557,296
3014,Alacant,655,298
3014,Alacant,498,221
3014,Alacant,405,173
3014,Alacant,372,167
3014,Alacant,360,191
3014,Alacant,585,302
3014,Alacant,396,230
3014,Alacant,366,121
3014,Alacant,435,192
3014,Alacant,356,187
3014,Alacant,438,243
3014,Alacant,401,247
3014,Alacant,548,247
3014,Alacant,360,163
3014,Alacant,458,201
3014,Alacant,481,222
3014,Alacant,401,194
3014,Alacant,440,266
3014,Alacant,357,158
3014,Alacant,355,176
3014,Alacant,437,225
3014,Alacant,422,210
3014,Alacant,458,230
3014,Alacant,730,389
3014,Alacant,380,199
3014,Alacant,651,321
3014,Alacant,404,203
3014,Alacant,595,275
3014,Alacant,534,283
3014,Alacant,535,275
3014,Alacant,463,171
3014,Alacant,609,310
3014,Alacant,695,337
3014,Alacant,388,211
3014,Alacant,491,252
3014,Alacant,529,238
3014,Alacant,610,275
3014,Alacant,503,260
3014,Alacant,580,242
3014,Alacant,625,290
3014,Alacant,595,266
3014,Alacant,470,202
3014,Alacant,820,407
3014,Alacant,643,241
3014,Alacant,651,289
3014,Alacant,314,178
3014,Alacant,377,215
3014,Alacant,425,195
3014,Alacant,337,214
3014,Alacant,706,355
3014,Alacant,704,320
3014,Alacant,626,218
3014,Alacant,526,287
3014,Alacant,405,202
3014,Alacant,422,221
3014,Alacant,456,219
3014,Alacant,573,340
3014,Alacant,466,279
3014,Alacant,470,225
3014,Alacant,530,250
3014,Alacant,635,317
3014,Alacant,488,251
3014,Alacant,641,368
3014,Alacant,360,171
3014,Alacant,342,184
3014,Alacant,731,373
3014,Alacant,525,300
3014,Alacant,467,254
3014,Alacant,538,302
3014,Alacant,496,281
3014,Alacant,718,371
3014,Alacant,601,260
3014,Alacant,458,226
3014,Alacant,439,203
3014,Alacant,405,214
3014,Alacant,414,171
3014,Alacant,369,216
3014,Alacant,349,201
3014,Alacant,382,212
3014,Alacant,543,314
3014,Alacant,397,132
3014,Alacant,486,276
3014,Alacant,396,163
3014,Alacant,379,170
3014,Alacant,530,284
3014,Alacant,402,194
3014,Alacant,481,213
3014,Alacant,418,237
3014,Alacant,421,191
3014,Alacant,473,228
3014,Alacant,421,253
3014,Alacant,673,333
3014,Alacant,721,275
3014,Alacant,807,386
3014,Alacant,674,340
3014,Alacant,709,265
3014,Alacant,563,277
3014,Alacant,656,361
3014,Alacant,216,104
3014,Alacant,525,239
3014,Alacant,599,257
3014,Alacant,656,295
3014,Alacant,235,99
3014,Alacant,527,199
3014,Alacant,627,250
3014,Alacant,438,186
3014,Alacant,539,209
3014,Alacant,390,180
3014,Alacant,407,186
3014,Alacant,410,189
3014,Alacant,439,233
3014,Alacant,446,184
3014,Alacant,551,238
3014,Alacant,603,274
3014,Alacant,490,219
3014,Alacant,676,328
3014,Alacant,363,157
3014,Alacant,643,312
3014,Alacant,642,245
3014,Alacant,410,200
3014,Alacant,660,285
3014,Alacant,740,348
3014,Alacant,516,200
3014,Alacant,560,293
3014,Alacant,406,201
3014,Alacant,418,196
3014,Alacant,639,266
3014,Alacant,576,281
3014,Alacant,636,317
3014,Alacant,520,268
3014,Alacant,568,318
3014,Alacant,668,260
3014,Alacant,478,215
3014,Alacant,547,227
3014,Alacant,425,180
3014,Alacant,669,310
3014,Alacant,548,289
3014,Alacant,529,277
3014,Alacant,647,346
3014,Alacant,671,276
3014,Alacant,532,246
3014,Alacant,486,240
3014,Alacant,357,145
3014,Alacant,573,282
3014,Alacant,425,190
3014,Alacant,688,329
3014,Alacant,614,291
3014,Alacant,431,206
3014,Alacant,575,252
3014,Alacant,280,109
3014,Alacant,683,321
3014,Alacant,636,303
3014,Alacant,619,319
3014,Alacant,425,202
3014,Alacant,545,242
3014,Alacant,324,128
3014,Alacant,553,289
3014,Alacant,500,255
3014,Alacant,646,328
3014,Alacant,446,220
3014,Alacant,617,301
3014,Alacant,406,241
3014,Alacant,538,308
3014,Alacant,496,191
3014,Alacant,454,229
3014,Alacant,626,278
3014,Alacant,587,313
3014,Alacant,414,253
3014,Alacant,697,377
3014,Alacant,500,261
3014,Alacant,336,173
3014,Alacant,593,233
3014,Alacant,342,156
3014,Alacant,571,227
3014,Alacant,431,213
3014,Alacant,457,219
3014,Alacant,492,227
3014,Alacant,575,213
3014,Alacant,697,328
3014,Alacant,566,273
3014,Alacant,489,214
3014,Alacant,671,271
3014,Alacant,603,262
3014,Alacant,344,145
3014,Alacant,588,287
3014,Alacant,559,269
3014,Alacant,575,229
3014,Alacant,655,366
3014,Alacant,511,211
3014,Alacant,600,351
3014,Alacant,442,279
3014,Alacant,360,240
3014,Alacant,670,424
3014,Alacant,400,187
3014,Alacant,444,190
3014,Alacant,602,267
3014,Alacant,781,486
3014,Alacant,446,267
3014,Alacant,442,261
3014,Alacant,478,275
3014,Alacant,306,185
3014,Alacant,372,208
3014,Alacant,536,338
3014,Alacant,458,272
3014,Alacant,400,176
3014,Alacant,381,168
3014,Alacant,577,327
3014,Alacant,547,350
3014,Alacant,640,402
3014,Alacant,489,244
3014,Alacant,535,335
3014,Alacant,381,215
3014,Alacant,608,357
3014,Alacant,473,245
3014,Alacant,381,237
3014,Alacant,658,361
3014,Alacant,556,324
3014,Alacant,437,236
3014,Alacant,473,263
3014,Alacant,492,284
3014,Alacant,597,333
3014,Alacant,340,197
3014,Alacant,450,317
3014,Alacant,433,257
3014,Alacant,479,317
3014,Alacant,344,214
3014,Alacant,425,270
3014,Alacant,359,246
3014,Alacant,392,256
3014,Alacant,468,277
3014,Alacant,468,273
3014,Alacant,543,308
3014,Alacant,357,216
3014,Alacant,337,189
3014,Alacant,418,256
3014,Alacant,380,233
3014,Alacant,361,215
3014,Alacant,359,226
3014,Alacant,435,256
3014,Alacant,435,275
3014,Alacant,429,231
3014,Alacant,502,308
3014,Alacant,415,219
3014,Alacant,458,267
3014,Alacant,435,258
3014,Alacant,518,313
3014,Alacant,490,302
3014,Alacant,680,381
3014,Alacant,420,228
3014,Alacant,333,214
3014,Alacant,524,322
3014,Alacant,572,264
3014,Alacant,630,289
3014,Alacant,542,293
3014,Alacant,392,207
3014,Alacant,683,253
3014,Alacant,534,237
3014,Alacant,337,171
3014,Alacant,490,225
3014,Alacant,407,211
3014,Alacant,482,237
3014,Alacant,665,311
3014,Alacant,625,314
3014,Alacant,575,286
3014,Alacant,611,277
3014,Alacant,425,226
3014,Alacant,622,311
3014,Alacant,655,304
3014,Alacant,463,244
3014,Alacant,579,250
3014,Alacant,567,223
3014,Alacant,859,496
3014,Alacant,628,324
3014,Alacant,327,143
3014,Alacant,598,315
3014,Alacant,364,158
3014,Alacant,446,193
3014,Alacant,552,316
3014,Alacant,330,177
3014,Alacant,474,213
3014,Alacant,604,295
3014,Alacant,383,208
3014,Alacant,544,305
3014,Alacant,426,230
3014,Alacant,643,318
3014,Alacant,398,175
3014,Alacant,456,228
3014,Alacant,343,190
3014,Alacant,684,279
3014,Alacant,572,235
3014,Alacant,437,203
3014,Alacant,661,285
3014,Alacant,592,262
3014,Alacant,432,202
