COD_MUNICIPIO,MUNICIPIO,COD_PROV
3001,"Atzúbia, l'",3
3002,Agost,3
3003,Agres,3
3004,Aigües,3
3005,Albatera,3
3006,Alcalalí,3
3007,Alcocer de Planes,3
3008,Alcoleja,3
3009,Alcoi,3
3010,Alfafara,3
3011,"Alfàs del Pi, l'",3
3012,Algorfa,3
3013,Algueña,3
3014,Alacant,3
3015,Almoradí,3
3016,Almudaina,3
3017,"Alqueria d'Asnar, l'",3
3018,Altea,3
3019,Aspe,3
3020,Balones,3
3021,Banyeres de Mariola,3
3022,Benasau,3
3023,Beneixama,3
3024,Benejúzar,3
3025,Benferri,3
3026,Beniarbeig,3
3027,Beniardá,3
3028,Beniarrés,3
3029,Benigembla,3
3030,Benidoleig,3
3031,Benidorm,3
3032,Benifallim,3
3033,Benifato,3
3034,Benijófar,3
3035,Benilloba,3
3036,Benillup,3
3037,Benimantell,3
3038,Benimarfull,3
3039,Benimassot,3
3040,Benimeli,3
3041,Benissa,3
3042,"Poble Nou de Benitatxell, el",3
3043,Biar,3
3044,Bigastro,3
3045,Bolulla,3
3046,Busot,3
3047,Calp,3
3048,Callosa d'en Sarrià,3
3049,Callosa de Segura,3
3050,"Campello, el",3
3051,"Camp de Mirra, el",3
3052,Cañada,3
3053,Castalla,3
3054,Castell de Castells,3
3055,Catral,3
3056,Cocentaina,3
3057,Confrides,3
3058,Cox,3
3059,Crevillent,3
3060,Quatretondeta,3
3061,Daya Nueva,3
3062,Daya Vieja,3
3063,Dénia,3
3064,Dolores,3
3065,Elx,3
3066,Elda,3
3067,Facheca,3
3068,Famorca,3
3069,Finestrat,3
3070,Formentera del Segura,3
3071,Gata de Gorgos,3
3072,Gaianes,3
3073,Gorga,3
3074,Granja de Rocamora,3
3075,"Castell de Guadalest, el",3
3076,Guardamar del Segura,3
3077,"Fondó de les Neus, el",3
3078,Hondón de los Frailes,3
3079,Ibi,3
3080,Jacarilla,3
3081,Xaló,3
3082,Xàbia,3
3083,Xixona,3
3084,"Orxa, l'",3
3085,Llíber,3
3086,Millena,3
3088,Monforte del Cid,3
3089,Monòver,3
3090,Mutxamel,3
3091,Murla,3
3092,Muro de Alcoy,3
3093,Novelda,3
3094,"Nucia, la",3
3095,Ondara,3
3096,Onil,3
3097,Orba,3
3098,Orxeta,3
3099,Orihuela,3
3100,Parcent,3
3101,Pedreguer,3
3102,Pego,3
3103,Penàguila,3
3104,Petrer,3
3105,"Pinós, el",3
3106,Planes,3
3107,Polop,3
3109,Rafal,3
3110,"Ràfol d'Almúnia, el",3
3111,Redován,3
3112,Relleu,3
3113,Rojales,3
3114,"Romana, la",3
3115,Sagra,3
3116,Salinas,3
3117,Sanet y Negrals,3
3118,San Fulgencio,3
3119,Sant Joan d'Alacant,3
3120,San Miguel de Salinas,3
3121,Santa Pola,3
3122,Sant Vicent del Raspeig,3
3123,Sax,3
3124,Sella,3
