COD_MUNICIPIO,MUNICIPIO
3001,"Atzúbia, l'"
3002,Agost
3003,Agres
3004,Aigües
3005,Albatera
3006,Alcalalí
3007,Alcocer de Planes
3008,Alcoleja
3009,Alcoi
3010,Alfafara
3011,"Alfàs del Pi, l'"
3012,Algorfa
3013,Algueña
3014,Alacant
3015,Almoradí
3016,Almudaina
3017,"Alqueria d'Asnar, l'"
3018,Altea
3019,Aspe
3020,Balones
3021,Banyeres de Mariola
3022,Benasau
3023,Beneixama
3024,Benejúzar
3025,Benferri
3026,Beniarbeig
3027,Beniardá
3028,Beniarrés
3029,Benigembla
3030,Benidoleig
3031,Benidorm
3032,Benifallim
3033,Benifato
3034,Benijófar
3035,Benilloba
3036,Benillup
3037,Benimantell
3038,Benimarfull
3039,Benimassot
3040,Benimeli
3041,Benissa
3042,"Poble Nou de Benitatxell, el"
3043,Biar
3044,Bigastro
3045,Bolulla
3046,Busot
3047,Calp
3048,Callosa d'en Sarrià
3049,Callosa de Segura
3050,"Campello, el"
3051,"Camp de Mirra, el"
3052,Cañada
3053,Castalla
3054,Castell de Castells
3055,Catral
3056,Cocentaina
3057,Confrides
3058,Cox
3059,Crevillent
3060,Quatretondeta
3061,Daya Nueva
3062,Daya Vieja
3063,Dénia
3064,Dolores
3065,Elx
3066,Elda
3067,Facheca
3068,Famorca
3069,Finestrat
3070,Formentera del Segura
3071,Gata de Gorgos
3072,Gaianes
3073,Gorga
3074,Granja de Rocamora
3075,"Castell de Guadalest, el"
3076,Guardamar del Segura
3077,"Fondó de les Neus, el"
3078,Hondón de los Frailes
3079,Ibi
3080,Jacarilla
3081,Xaló
3082,Xàbia
3083,Xixona
3084,"Orxa, l'"
3085,Llíber
3086,Millena
3088,Monforte del Cid
3089,Monòver
3090,Mutxamel
3091,Murla
3092,Muro de Alcoy
3093,Novelda
3094,"Nucia, la"
3095,Ondara
3096,Onil
3097,Orba
3098,Orxeta
3099,Orihuela
3100,Parcent
3101,Pedreguer
3102,Pego
3103,Penàguila
3104,Petrer
3105,"Pinós, el"
3106,Planes
3107,Polop
3109,Rafal
