COD_COMARCA,CANDIDATO_COD,VOTOS,AÑO_ID
1,1,2,2
1,2,783,2
1,4,745,2
1,5,5,2
1,10,0,2
1,11,91,2
1,14,7,2
1,20,18,2
1,25,33,2
1,27,1,2
1,28,5,2
1,31,112,2
1,40,0,2
1,41,2,2
1,42,15,2
1,43,1,2
1,44,0,2
1,45,1,2
1,46,8,2
1,47,6,2
1,48,1,2
1,52,107,2
1,70,3,2
1,73,0,2
1,74,0,2
1,75,0,2
1,76,14,2
1,82,1,2
1,85,94,2
1,86,1,2
1,87,0,2
1,88,4,2
1,89,2,2
1,96,4,2
1,99,1,2
1,103,0,2
1,104,3,2
1,105,0,2
1,106,1,2
2,1,0,2
2,2,694,2
2,4,1325,2
2,5,1,2
2,10,2,2
2,11,119,2
2,14,2,2
2,20,21,2
2,25,37,2
2,27,0,2
2,28,3,2
2,31,173,2
2,40,0,2
2,41,0,2
2,42,4,2
2,43,0,2
2,44,1,2
2,45,1,2
2,46,7,2
2,47,6,2
2,48,0,2
2,52,170,2
2,70,4,2
2,73,1,2
2,74,0,2
2,75,2,2
2,76,15,2
2,82,0,2
2,85,141,2
2,86,0,2
2,87,1,2
2,88,0,2
2,89,2,2
2,96,4,2
2,99,8,2
2,103,4,2
2,104,8,2
2,105,4,2
2,106,2,2
3,1,43,2
3,2,6375,2
3,4,8419,2
3,5,59,2
3,10,19,2
3,11,1361,2
3,14,257,2
3,20,757,2
3,25,638,2
3,27,51,2
3,28,69,2
3,31,1587,2
3,40,12,2
3,41,22,2
3,42,261,2
3,43,15,2
3,44,66,2
3,45,47,2
3,46,218,2
3,47,64,2
3,48,7,2
3,52,1723,2
3,70,50,2
3,73,6,2
3,74,16,2
3,75,9,2
3,76,203,2
3,82,16,2
3,85,2152,2
3,86,16,2
3,87,17,2
3,88,4,2
3,89,67,2
3,96,108,2
3,99,71,2
3,103,53,2
3,104,260,2
3,105,12,2
3,106,37,2
4,1,8,2
4,2,1480,2
4,4,2022,2
4,5,9,2
4,10,8,2
4,11,317,2
4,14,36,2
4,20,26,2
4,25,82,2
4,27,6,2
4,28,13,2
4,31,349,2
4,40,2,2
4,41,7,2
4,42,41,2
4,43,5,2
4,44,8,2
4,45,17,2
4,46,80,2
4,47,17,2
4,48,0,2
4,52,466,2
4,70,9,2
4,73,1,2
4,74,2,2
4,75,4,2
4,76,29,2
4,82,2,2
4,85,414,2
4,86,5,2
4,87,11,2
4,88,2,2
4,89,13,2
4,96,11,2
4,99,10,2
4,103,3,2
4,104,63,2
4,105,2,2
4,106,9,2
5,1,150,2
5,2,16523,2
5,4,24695,2
5,5,135,2
5,10,101,2
5,11,7281,2
5,14,1045,2
5,20,528,2
5,25,3055,2
5,27,172,2
5,28,145,2
5,31,5386,2
5,40,25,2
5,41,73,2
5,42,1322,2
5,43,56,2
5,44,186,2
5,45,251,2
5,46,1365,2
5,47,199,2
5,48,29,2
5,52,7374,2
5,70,163,2
5,73,23,2
5,74,29,2
5,75,21,2
5,76,701,2
5,82,30,2
5,85,6707,2
5,86,76,2
5,87,67,2
5,88,16,2
5,89,215,2
5,96,258,2
5,99,203,2
5,103,82,2
5,104,957,2
5,105,56,2
5,106,96,2
6,1,139,2
6,2,16947,2
6,4,21954,2
6,5,106,2
6,10,112,2
6,11,4460,2
6,14,774,2
6,20,296,2
6,25,2147,2
6,27,104,2
6,28,141,2
6,31,4644,2
6,40,24,2
6,41,78,2
6,42,739,2
6,43,54,2
6,44,197,2
6,45,172,2
6,46,639,2
6,47,177,2
6,48,47,2
6,52,6529,2
6,70,74,2
6,73,16,2
6,74,46,2
6,75,22,2
6,76,446,2
6,82,55,2
6,85,5293,2
6,86,36,2
6,87,46,2
6,88,27,2
6,89,247,2
6,96,269,2
6,99,76,2
6,103,232,2
6,104,695,2
6,105,51,2
6,106,108,2
7,1,10,2
7,2,3020,2
7,4,4440,2
7,5,8,2
7,10,9,2
7,11,735,2
7,14,76,2
7,20,42,2
7,25,191,2
7,27,15,2
7,28,27,2
7,31,360,2
7,40,1,2
7,41,17,2
7,42,104,2
7,43,4,2
7,44,18,2
7,45,31,2
7,46,70,2
7,47,20,2
7,48,27,2
7,52,1002,2
7,70,12,2
7,73,2,2
7,74,2,2
7,75,3,2
7,76,89,2
7,82,13,2
7,85,789,2
7,86,145,2
7,87,4,2
7,88,5,2
7,89,14,2
7,96,37,2
7,99,6,2
7,103,12,2
7,104,86,2
7,105,9,2
7,106,15,2
8,1,2,2
8,2,431,2
8,4,1066,2
8,5,2,2
8,10,0,2
8,11,106,2
8,14,13,2
8,20,12,2
8,25,37,2
8,27,1,2
8,28,6,2
8,31,54,2
8,40,0,2
8,41,2,2
8,42,20,2
8,43,2,2
8,44,3,2
8,45,4,2
8,46,9,2
8,47,3,2
8,48,0,2
8,52,119,2
8,70,5,2
8,73,0,2
8,74,0,2
8,75,0,2
8,76,11,2
8,82,2,2
8,85,85,2
8,86,2,2
8,87,1,2
8,88,0,2
8,89,9,2
8,96,6,2
8,99,1,2
8,103,4,2
8,104,6,2
8,105,1,2
8,106,0,2
9,1,0,2
9,2,322,2
9,4,451,2
9,5,1,2
9,10,0,2
9,11,54,2
9,14,8,2
9,20,0,2
9,25,16,2
9,27,0,2
9,28,1,2
9,31,27,2
9,40,0,2
9,41,1,2
9,42,12,2
9,43,0,2
9,44,3,2
9,45,6,2
9,46,4,2
9,47,1,2
9,48,0,2
9,52,52,2
9,70,0,2
9,73,0,2
9,74,0,2
9,75,0,2
9,76,0,2
9,82,0,2
9,85,64,2
9,86,0,2
9,87,0,2
9,88,0,2
9,89,0,2
9,96,6,2
9,99,0,2
9,103,0,2
9,104,5,2
9,105,0,2
9,106,2,2
10,1,5,2
10,2,2048,2
10,4,3081,2
10,5,5,2
10,10,3,2
10,11,423,2
10,14,50,2
10,20,15,2
10,25,112,2
10,27,2,2
10,28,19,2
10,31,260,2
10,40,2,2
10,41,3,2
10,42,94,2
10,43,7,2
10,44,21,2
10,45,25,2
10,46,26,2
10,47,9,2
10,48,0,2
10,52,889,2
10,70,3,2
10,73,3,2
10,74,2,2
10,75,2,2
10,76,31,2
10,82,21,2
10,85,345,2
10,86,14,2
10,87,4,2
10,88,1,2
10,89,7,2
10,96,16,2
10,99,0,2
10,103,10,2
10,104,66,2
10,105,3,2
10,106,10,2
11,1,72,2
11,2,10442,2
11,4,17198,2
11,5,59,2
11,10,47,2
11,11,5557,2
11,14,849,2
11,20,152,2
11,25,1952,2
11,27,52,2
11,28,113,2
11,31,6080,2
11,40,15,2
11,41,41,2
11,42,1186,2
11,43,52,2
11,44,135,2
11,45,111,2
11,46,478,2
11,47,135,2
11,48,44,2
11,52,6025,2
11,70,63,2
11,73,16,2
11,74,21,2
11,75,11,2
11,76,354,2
11,82,27,2
11,85,4144,2
11,86,28,2
11,87,38,2
11,88,16,2
11,89,99,2
11,96,153,2
11,99,53,2
11,103,300,2
11,104,586,2
11,105,42,2
11,106,91,2
12,1,49,2
12,2,7032,2
12,4,8129,2
12,5,35,2
12,10,29,2
12,11,2733,2
12,14,481,2
12,20,313,2
12,25,733,2
12,27,18,2
12,28,74,2
12,31,2565,2
12,40,7,2
12,41,31,2
12,42,289,2
12,43,17,2
12,44,39,2
12,45,86,2
12,46,231,2
12,47,84,2
12,48,87,2
12,52,5277,2
12,70,53,2
12,73,10,2
12,74,9,2
12,75,13,2
12,76,190,2
12,82,16,2
12,85,3854,2
12,86,24,2
12,87,13,2
12,88,10,2
12,89,57,2
12,96,72,2
12,99,16,2
12,103,90,2
12,104,367,2
12,105,37,2
12,106,36,2
13,1,131,2
13,2,18646,2
13,4,22282,2
13,5,123,2
13,10,94,2
13,11,8100,2
13,14,1247,2
13,20,330,2
13,25,2811,2
13,27,103,2
13,28,276,2
13,31,9340,2
13,40,32,2
13,41,91,2
13,42,1374,2
13,43,63,2
13,44,155,2
13,45,188,2
13,46,711,2
13,47,199,2
13,48,59,2
13,52,10261,2
13,70,141,2
13,73,20,2
13,74,43,2
13,75,26,2
13,76,707,2
13,82,44,2
13,85,7025,2
13,86,40,2
13,87,74,2
13,88,26,2
13,89,145,2
13,96,220,2
13,99,83,2
13,103,615,2
13,104,881,2
13,105,61,2
13,106,171,2
14,1,233,2
14,2,30266,2
14,4,29397,2
14,5,137,2
14,10,166,2
14,11,13394,2
14,14,1877,2
14,20,289,2
14,25,3770,2
14,27,123,2
14,28,435,2
14,31,10606,2
14,40,64,2
14,41,146,2
14,42,2021,2
14,43,90,2
14,44,292,2
14,45,362,2
14,46,919,2
14,47,333,2
14,48,28,2
14,52,15225,2
14,70,135,2
14,73,36,2
14,74,53,2
14,75,38,2
14,76,1012,2
14,82,54,2
14,85,12398,2
14,86,59,2
14,87,92,2
14,88,29,2
14,89,288,2
14,96,333,2
14,99,126,2
14,103,654,2
14,104,1207,2
14,105,85,2
14,106,195,2
15,1,475,2
15,2,51976,2
15,4,87655,2
15,5,347,2
15,10,310,2
15,11,29495,2
15,14,4924,2
15,20,957,2
15,25,11159,2
15,27,689,2
15,28,1080,2
15,31,27723,2
15,40,158,2
15,41,330,2
15,42,9505,2
15,43,222,2
15,44,598,2
15,45,652,2
15,46,2414,2
15,47,1028,2
15,48,99,2
15,52,34596,2
15,70,364,2
15,73,43,2
15,74,62,2
15,75,44,2
15,76,2417,2
15,82,176,2
15,85,26519,2
15,86,243,2
15,87,259,2
15,88,64,2
15,89,503,2
15,96,889,2
15,99,327,2
15,103,1831,2
15,104,2663,2
15,105,182,2
15,106,343,2
16,1,125,2
16,2,14333,2
16,4,16217,2
16,5,136,2
16,10,79,2
16,11,6032,2
16,14,903,2
16,20,242,2
16,25,1785,2
16,27,69,2
16,28,246,2
16,31,6042,2
16,40,28,2
16,41,67,2
16,42,833,2
16,43,32,2
16,44,171,2
16,45,150,2
16,46,452,2
16,47,146,2
16,48,58,2
16,52,7532,2
16,70,119,2
16,73,17,2
16,74,26,2
16,75,13,2
16,76,557,2
16,82,36,2
16,85,6011,2
16,86,31,2
16,87,57,2
16,88,15,2
16,89,166,2
16,96,186,2
16,99,68,2
16,103,406,2
16,104,563,2
16,105,50,2
16,106,79,2
17,1,22,2
17,2,3878,2
17,4,4310,2
17,5,10,2
17,10,18,2
17,11,1157,2
17,14,119,2
17,20,15,2
17,25,491,2
17,27,10,2
17,28,24,2
17,31,291,2
17,40,1,2
17,41,8,2
17,42,276,2
17,43,10,2
17,44,22,2
17,45,39,2
17,46,89,2
17,47,35,2
17,48,1,2
17,52,1505,2
17,70,14,2
17,73,3,2
17,74,7,2
17,75,1,2
17,76,67,2
17,82,11,2
17,85,940,2
17,86,7,2
17,87,14,2
17,88,2,2
17,89,22,2
17,96,30,2
17,99,9,2
17,103,7,2
17,104,109,2
17,105,10,2
17,106,19,2
18,1,28,2
18,2,4129,2
18,4,4792,2
18,5,13,2
18,10,12,2
18,11,1292,2
18,14,205,2
18,20,36,2
18,25,307,2
18,27,6,2
18,28,34,2
18,31,1004,2
18,40,3,2
18,41,12,2
18,42,222,2
18,43,13,2
18,44,24,2
18,45,29,2
18,46,109,2
18,47,30,2
18,48,2,2
18,52,2816,2
18,70,20,2
18,73,1,2
18,74,3,2
18,75,1,2
18,76,82,2
18,82,11,2
18,85,1420,2
18,86,9,2
18,87,9,2
18,88,3,2
18,89,22,2
18,96,49,2
18,99,15,2
18,103,26,2
18,104,179,2
18,105,15,2
18,106,23,2
19,1,9,2
19,2,1213,2
19,4,1444,2
19,5,1,2
19,10,7,2
19,11,322,2
19,14,31,2
19,20,3,2
19,25,109,2
19,27,4,2
19,28,12,2
19,31,76,2
19,40,0,2
19,41,12,2
19,42,34,2
19,43,2,2
19,44,16,2
19,45,7,2
19,46,26,2
19,47,4,2
19,48,2,2
19,52,385,2
19,70,2,2
19,73,1,2
19,74,1,2
19,75,1,2
19,76,22,2
19,82,8,2
19,85,301,2
19,86,3,2
19,87,1,2
19,88,2,2
19,89,3,2
19,96,8,2
19,99,2,2
19,103,6,2
19,104,19,2
19,105,2,2
19,106,3,2
20,1,123,2
20,2,20179,2
20,4,25216,2
20,5,141,2
20,10,70,2
20,11,5314,2
20,14,950,2
20,20,505,2
20,25,1227,2
20,27,104,2
20,28,177,2
20,31,11713,2
20,40,45,2
20,41,93,2
20,42,849,2
20,43,48,2
20,44,216,2
20,45,165,2
20,46,521,2
20,47,211,2
20,48,27,2
20,52,8763,2
20,70,125,2
20,73,55,2
20,74,28,2
20,75,20,2
20,76,480,2
20,82,82,2
20,85,4977,2
20,86,51,2
20,87,55,2
20,88,17,2
20,89,214,2
20,96,181,2
20,99,87,2
20,103,457,2
20,104,809,2
20,105,53,2
20,106,95,2
21,1,52,2
21,2,7844,2
21,4,8212,2
21,5,45,2
21,10,32,2
21,11,1878,2
21,14,377,2
21,20,393,2
21,25,471,2
21,27,30,2
21,28,57,2
21,31,4978,2
21,40,8,2
21,41,30,2
21,42,291,2
21,43,29,2
21,44,60,2
21,45,63,2
21,46,174,2
21,47,75,2
21,48,9,2
21,52,3546,2
21,70,52,2
21,73,4,2
21,74,12,2
21,75,12,2
21,76,177,2
21,82,20,2
21,85,1778,2
21,86,19,2
21,87,20,2
21,88,5,2
21,89,54,2
21,96,69,2
21,99,23,2
21,103,127,2
21,104,284,2
21,105,20,2
21,106,37,2
22,1,13,2
22,2,2243,2
22,4,2754,2
22,5,4,2
22,10,5,2
22,11,439,2
22,14,117,2
22,20,12,2
22,25,74,2
22,27,4,2
22,28,7,2
22,31,249,2
22,40,1,2
22,41,5,2
22,42,41,2
22,43,5,2
22,44,6,2
22,45,8,2
22,46,35,2
22,47,14,2
22,48,1,2
22,52,793,2
22,70,3,2
22,73,0,2
22,74,0,2
22,75,0,2
22,76,46,2
22,82,1,2
22,85,470,2
22,86,3,2
22,87,0,2
22,88,2,2
22,89,9,2
22,96,9,2
22,99,4,2
22,103,10,2
22,104,38,2
22,105,2,2
22,106,7,2
23,1,46,2
23,2,6360,2
23,4,8974,2
23,5,46,2
23,10,28,2
23,11,1988,2
23,14,357,2
23,20,154,2
23,25,630,2
23,27,29,2
23,28,72,2
23,31,3244,2
23,40,30,2
23,41,24,2
23,42,273,2
23,43,13,2
23,44,53,2
23,45,44,2
23,46,132,2
23,47,62,2
23,48,9,2
23,52,3542,2
23,70,30,2
23,73,7,2
23,74,6,2
23,75,8,2
23,76,117,2
23,82,18,2
23,85,1790,2
23,86,29,2
23,87,20,2
23,88,3,2
23,89,57,2
23,96,42,2
23,99,39,2
23,103,76,2
23,104,238,2
23,105,25,2
23,106,24,2
24,1,50,2
24,2,7984,2
24,4,11164,2
24,5,47,2
24,10,91,2
24,11,2166,2
24,14,337,2
24,20,161,2
24,25,550,2
24,27,23,2
24,28,102,2
24,31,4970,2
24,40,1,2
24,41,27,2
24,42,282,2
24,43,22,2
24,44,69,2
24,45,59,2
24,46,144,2
24,47,60,2
24,48,8,2
24,52,3651,2
24,70,59,2
24,73,0,2
24,74,17,2
24,75,9,2
24,76,237,2
24,82,9,2
24,85,2209,2
24,86,21,2
24,87,19,2
24,88,8,2
24,89,62,2
24,96,79,2
24,99,33,2
24,103,130,2
24,104,252,2
24,105,28,2
24,106,40,2
25,1,86,2
25,2,14271,2
25,4,20299,2
25,5,83,2
