CANDIDATO_DESC,CANDIDATO_COD,CANDIDATO_SIGLAS,AÑO_ID
Iniciativa Feminista,1,I.Fem,1
Demòcrates Valencians-Coalició per una Europa Solidària,3,DV,1
Partido Socialista Obrero Español,10,PSOE,1
Alternativa Republicana,12,ALTER,1
Centristas por Europa,13,CXE,1
Ara Repúbliques-Esquerra Republicana del País Valencià,15,ARA REPÚBLIQUES-ERPV,1
Contigo somos Democracia,24,CONTIGO,1
"Fe de las JONS, Alternativa Española, la Falange, Democracia Nacional",25,ADÑ,1
Partido Animalista contra el Maltrato Animal,26,PACMA,1
Solidaridad y Autogestión Internacionalista,27,SAIn,1
Partit Comunista dels Treballadors d'Espanya,29,PCTE,1
Foro de Ciudadanos,35,FAC,1
Partido Humanista,36,PH,1
Andalucía por Sí,37,AxSÍ,1
Actúa,38,PACT,1
Compromís per Europa/Compromiso por Europa,39,CPE,1
Movimiento Independiente Euro Latino,44,MIEL,1
Izquierda en Positivo,45,IZQP,1
Partit Comunista dels Pobles d'Espanya,51,PCPE,1
Unidas Podemos cambiar Europa/Unides Podem canviar Europa,53,PODEMOS-EUPV,1
Por un Mundo más Justo,55,PUM+J,1
Movimiento Corriente Roja,56,MCR,1
Ciudadanos-Partido de la Ciudadanía,57,Cs,1
Lliures per Europa,58,JUNTS,1
VOX,60,VOX,1
Igualdad Real,61,IGRE,1
Pirates de Catalunya - European Pirates,62,pirates.cat/ep,1
Volt Europa,63,VOLT,1
Coalición Verde-Europa Ciudadana,64,CV-EC,1
Partido Popular,65,PP,1
Recortes Cero-Los Verdes-Grupo Verde Europeo,66,RECORTES CERO-LV-GVE,1
Extremeños PREX CREX,67,CEX-CREX-PREX,1
