CANDIDATO_DESC,CANDIDATO_COD,CANDIDATO_SIGLAS
"Partido X, Partido del Futuro",46,PARTIDO X
Agrupación de Electores D.E.R.,47,DISCAPACITADOS y ENFERMEDADES RARAS
Salamanca-Zamora-León Prepal,48,PREPAL
Esquerra Unida País Valencià-Els Verds: L'Esquerra Plural,52,EUPV-EV
Els Pobles decideixen,70,EH BILDU-BNG
Extremeños por Europa Coalición Electoral IPEX PREX CREX,73,IPEX-PREX-CREX
Partido Andalucista,74,PARTIDO ANDALUCISTA
Movimiento corriente roja,75,M.C.R.
Escaños en blanco,76,EB
"Per la República, per la ruptura amb la Unió Europea",82,R.R.U.E.
Podemos-Podem,85,PODEMOS
Alternativa Republicana,86,ALTER
Partido da Terra,87,PT
Solidaridad y Autogestión Internacionalista,88,SAIn
La España en marcha,89,LEM
Piratas de la Comunidad Valenciana-Confederación Pirata-European Pirates,96,PIRATAS
Democracia Nacional,99,D.N.
Valencians per Europa-Proyecte Europa,103,ACNV-R.E.P.O-UNIO
"Movimiento de Renovación Democrática Ciudadana, Movimiento Red",104,MOVIMIENTO RED
Movimiento Social Republicano,105,M.S.R.
Ciudadanos Libres Unidos,106,CILUS
Partido animalista contra el maltrato animal/Partit animalista contra el maltractament animal,14,PACMA
Esquerra Republicana-L'Esquerra pel dret a decidir,20,EPDD
Ciudadanos-Partido de la Ciudadanía,25,C'S
Impulso Social,27,IMPULSOCIAL
Agrupación de Electores Recortes Cero,28,RECORTES CERO
Coalició Compromís,31,PRIMAVERA EUROPEA
Extremadura Unida,40,EXTREMADURA UNIDA
Partido Humanista,41,PH
VOX,42,VOX
Partido de la Libertad Individual,43,P-LIB
Falange Española de las J.O.N.S.,44,FE DE LAS JONS
Partido Comunista de los Pueblos de España,45,P.C.P.E.
Iniciativa Feminista,1,I.FEM
Partido Socialista Obrero Español,2,PSOE
Partido Popular,4,PP
Coalición por Europa,5,CEU
Foro de Ciudadanos,10,FAC
Unión Progreso y Democracia,11,UPYD
