CANDIDATO_DESC,CANDIDATO_COD,CANDIDATO_SIGLAS
Partit Republicà Català,14,RC
Partido Comunista de los Pueblos de España,15,PCPE
Unión Progreso y Democracia,17,UPyD
Alternativa Española,18,AES
Falange Auténtica,19,FA
Por un Mundo más Justo,20,PUM+J
Salamanca-Zamora-León,22,PREPAL
Centro Democrático y Social,23,CDS
Libertas-Ciudadanos de España,24,LIBERTAS
Frente Nacional,26,FN
Partido Antitaurino contra el Maltrato Animal,27,PACMA
Partido Socialista Obrero Español,28,PSOE
Movimiento Social Republicano,29,MSR
Unidá Nacionalista Asturiana,30,UNA
Democracia Nacional,32,DN
Unificación Comunista de España,34,UCE
Partido Obrero Socialista Internacionalista,35,POSI
Andecha Astur,36,AA
Partido Humanista,37,PH
Bloc Nacionalista Valencià-Coalició per Europa,38,BLOC
Esquerra Republicana del País Valencià- Els Verds,39,EdP-V
Esquerra Anticapitalista-Revolta Global,40,IZAN-RG
Esquerra Unida del País Valencià: L'Esquerra,41,EUPV
Els Verds-Grup Verd Europeu-Los Verdes-Grupo Verde Europeo,42,LV-GVE
Iniciativa Internacionalista - La Solidaritat entre els Pobles,43,II
Iniciativa Feminista,1,IF
Solidaridad y Autogestión Internacionalista,3,SAIn
Partido Socialista de Andalucía,4,PSA
Falange Española de Las Jons,5,FE de las JONS
Partido Popular,8,PP
Extremadura Unida,9,EXTREMADURA UNIDA
Centro Democrático Liberal,10,CDL
Unió Valenciana,11,UV
Partido Familia y Vida,12,PFyV
Unión Centrista Liberal,13,UCL
