COD_COMARCA,COMARCA,COD_MUNICIPIO,MUNICIPIO
30,La Marina Alta,3001,"Atzúbia, l'"
32,L'Alacantí,3002,Agost
26,El Comtat,3003,Agres
32,L'Alacantí,3004,Aigües
34,La Vega Baja,3005,Albatera
30,La Marina Alta,3006,Alcalalí
26,El Comtat,3007,Alcocer de Planes
26,El Comtat,3008,Alcoleja
27,L'Alcoià,3009,Alcoi
26,El Comtat,3010,Alfafara
31,La Marina Baixa,3011,"Alfàs del Pi, l'"
34,La Vega Baja,3012,Algorfa
29,El Vinalopó Medio,3013,Algueña
32,L'Alacantí,3014,Alacant
34,La Vega Baja,3015,Almoradí
26,El Comtat,3016,Almudaina
26,El Comtat,3017,"Alqueria d'Asnar, l'"
31,La Marina Baixa,3018,Altea
29,El Vinalopó Medio,3019,Aspe
26,El Comtat,3020,Balones
27,L'Alcoià,3021,Banyeres de Mariola
26,El Comtat,3022,Benasau
28,El Alto Vinalopó,3023,Beneixama
34,La Vega Baja,3024,Benejúzar
34,La Vega Baja,3025,Benferri
30,La Marina Alta,3026,Beniarbeig
31,La Marina Baixa,3027,Beniardá
26,El Comtat,3028,Beniarrés
30,La Marina Alta,3029,Benigembla
30,La Marina Alta,3030,Benidoleig
31,La Marina Baixa,3031,Benidorm
27,L'Alcoià,3032,Benifallim
31,La Marina Baixa,3033,Benifato
34,La Vega Baja,3034,Benijófar
26,El Comtat,3035,Benilloba
26,El Comtat,3036,Benillup
31,La Marina Baixa,3037,Benimantell
26,El Comtat,3038,Benimarfull
26,El Comtat,3039,Benimassot
30,La Marina Alta,3040,Benimeli
30,La Marina Alta,3041,Benissa
30,La Marina Alta,3042,"Poble Nou de Benitatxell, el"
28,El Alto Vinalopó,3043,Biar
34,La Vega Baja,3044,Bigastro
31,La Marina Baixa,3045,Bolulla
32,L'Alacantí,3046,Busot
30,La Marina Alta,3047,Calp
31,La Marina Baixa,3048,Callosa d'en Sarrià
34,La Vega Baja,3049,Callosa de Segura
32,L'Alacantí,3050,"Campello, el"
28,El Alto Vinalopó,3051,"Camp de Mirra, el"
28,El Alto Vinalopó,3052,Cañada
27,L'Alcoià,3053,Castalla
30,La Marina Alta,3054,Castell de Castells
34,La Vega Baja,3055,Catral
26,El Comtat,3056,Cocentaina
31,La Marina Baixa,3057,Confrides
34,La Vega Baja,3058,Cox
33,El Baix Vinalopó,3059,Crevillent
26,El Comtat,3060,Quatretondeta
34,La Vega Baja,3061,Daya Nueva
34,La Vega Baja,3062,Daya Vieja
30,La Marina Alta,3063,Dénia
34,La Vega Baja,3064,Dolores
33,El Baix Vinalopó,3065,Elx
29,El Vinalopó Medio,3066,Elda
26,El Comtat,3067,Facheca
26,El Comtat,3068,Famorca
31,La Marina Baixa,3069,Finestrat
34,La Vega Baja,3070,Formentera del Segura
30,La Marina Alta,3071,Gata de Gorgos
26,El Comtat,3072,Gaianes
26,El Comtat,3073,Gorga
34,La Vega Baja,3074,Granja de Rocamora
31,La Marina Baixa,3075,"Castell de Guadalest, el"
34,La Vega Baja,3076,Guardamar del Segura
29,El Vinalopó Medio,3077,"Fondó de les Neus, el"
29,El Vinalopó Medio,3078,Hondón de los Frailes
27,L'Alcoià,3079,Ibi
34,La Vega Baja,3080,Jacarilla
30,La Marina Alta,3081,Xaló
30,La Marina Alta,3082,Xàbia
32,L'Alacantí,3083,Xixona
26,El Comtat,3084,"Orxa, l'"
30,La Marina Alta,3085,Llíber
26,El Comtat,3086,Millena
29,El Vinalopó Medio,3088,Monforte del Cid
29,El Vinalopó Medio,3089,Monòver
32,L'Alacantí,3090,Mutxamel
30,La Marina Alta,3091,Murla
26,El Comtat,3092,Muro de Alcoy
29,El Vinalopó Medio,3093,Novelda
31,La Marina Baixa,3094,"Nucia, la"
30,La Marina Alta,3095,Ondara
27,L'Alcoià,3096,Onil
30,La Marina Alta,3097,Orba
31,La Marina Baixa,3098,Orxeta
34,La Vega Baja,3099,Orihuela
30,La Marina Alta,3100,Parcent
30,La Marina Alta,3101,Pedreguer
30,La Marina Alta,3102,Pego
27,L'Alcoià,3103,Penàguila
29,El Vinalopó Medio,3104,Petrer
29,El Vinalopó Medio,3105,"Pinós, el"
26,El Comtat,3106,Planes
31,La Marina Baixa,3107,Polop
34,La Vega Baja,3109,Rafal
30,La Marina Alta,3110,"Ràfol d'Almúnia, el"
34,La Vega Baja,3111,Redován
31,La Marina Baixa,3112,Relleu
34,La Vega Baja,3113,Rojales
29,El Vinalopó Medio,3114,"Romana, la"
30,La Marina Alta,3115,Sagra
28,El Alto Vinalopó,3116,Salinas
30,La Marina Alta,3117,Sanet y Negrals
34,La Vega Baja,3118,San Fulgencio
32,L'Alacantí,3119,Sant Joan d'Alacant
34,La Vega Baja,3120,San Miguel de Salinas
33,El Baix Vinalopó,3121,Santa Pola
32,L'Alacantí,3122,Sant Vicent del Raspeig
28,El Alto Vinalopó,3123,Sax
31,La Marina Baixa,3124,Sella
30,La Marina Alta,3125,Senija
31,La Marina Baixa,3127,Tàrbena
30,La Marina Alta,3128,Teulada
27,L'Alcoià,3129,Tibi
26,El Comtat,3130,Tollos
30,La Marina Alta,3131,Tormos
32,L'Alacantí,3132,"Torre de les Maçanes, la"
34,La Vega Baja,3133,Torrevieja
30,La Marina Alta,3134,"Vall d'Alcalà, la"
30,La Marina Alta,3135,"Vall d'Ebo, la"
30,La Marina Alta,3136,Vall de Gallinera
30,La Marina Alta,3137,"Vall de Laguar, la"
30,La Marina Alta,3138,"Verger, el"
31,La Marina Baixa,3139,"Vila Joiosa, la"
28,El Alto Vinalopó,3140,Villena
30,La Marina Alta,3901,"Poblets, els"
34,La Vega Baja,3902,Pilar de la Horadada
34,La Vega Baja,3903,"Montesinos, los"
34,La Vega Baja,3904,San Isidro
4,L'Alcalatén,12001,Atzeneta del Maestrat
6,La Plana Baixa,12002,Aín
2,L'Alt Maestrat,12003,Albocàsser
3,El Baix Maestrat,12004,Alcalà de Xivert
4,L'Alcalatén,12005,"Alcora, l'"
6,La Plana Baixa,12006,Alcudia de Veo
6,La Plana Baixa,12007,Alfondeguilla
7,El Alto Palancia,12008,Algimia de Almonacid
5,La Plana Alta,12009,Almassora
7,El Alto Palancia,12010,Almedíjar
6,La Plana Baixa,12011,Almenara
7,El Alto Palancia,12012,Altura
8,El Alto Mijares,12013,Arañuel
2,L'Alt Maestrat,12014,Ares del Maestrat
8,El Alto Mijares,12015,Argelita
6,La Plana Baixa,12016,Artana
8,El Alto Mijares,12017,Ayódar
7,El Alto Palancia,12018,Azuébar
7,El Alto Palancia,12020,Barracas
6,La Plana Baixa,12021,Betxí
7,El Alto Palancia,12022,Bejís
7,El Alto Palancia,12024,Benafer
4,L'Alcalatén,12025,Benafigos
2,L'Alt Maestrat,12026,Benassal
3,El Baix Maestrat,12027,Benicarló
5,La Plana Alta,12028,Benicàssim
5,La Plana Alta,12029,Benlloc
5,La Plana Alta,12031,Borriol
6,La Plana Baixa,12032,Borriana
5,La Plana Alta,12033,Cabanes
3,El Baix Maestrat,12034,Càlig
3,El Baix Maestrat,12036,Canet lo Roig
3,El Baix Maestrat,12037,Castell de Cabres
1,Els Ports,12038,Castellfort
7,El Alto Palancia,12039,Castellnovo
5,La Plana Alta,12040,Castelló de la Plana
8,El Alto Mijares,12041,Castillo de Villamalefa
2,L'Alt Maestrat,12042,Catí
7,El Alto Palancia,12043,Caudiel
3,El Baix Maestrat,12044,Cervera del Maestre
1,Els Ports,12045,Cinctorres
8,El Alto Mijares,12046,Cirat
8,El Alto Mijares,12048,Cortes de Arenoso
4,L'Alcalatén,12049,Costur
5,La Plana Alta,12050,"Coves de Vinromà, les"
2,L'Alt Maestrat,12051,Culla
3,El Baix Maestrat,12052,Xert
6,La Plana Baixa,12053,Chilches
4,L'Alcalatén,12055,Xodos
7,El Alto Palancia,12056,Chóvar
6,La Plana Baixa,12057,Eslida
8,El Alto Mijares,12058,Espadilla
8,El Alto Mijares,12059,Fanzara
4,L'Alcalatén,12060,Figueroles
1,Els Ports,12061,Forcall
8,El Alto Mijares,12063,Fuente la Reina
8,El Alto Mijares,12064,Fuentes de Ayódar
7,El Alto Palancia,12065,Gaibiel
7,El Alto Palancia,12067,Geldo
1,Els Ports,12068,Herbés
7,El Alto Palancia,12069,Higueras
3,El Baix Maestrat,12070,"Jana, la"
7,El Alto Palancia,12071,Jérica
4,L'Alcalatén,12072,Llucena
8,El Alto Mijares,12073,Ludiente
6,La Plana Baixa,12074,"Llosa, la"
1,Els Ports,12075,"Mata de Morella, la"
7,El Alto Palancia,12076,Matet
6,La Plana Baixa,12077,Moncofa
8,El Alto Mijares,12078,Montán
8,El Alto Mijares,12079,Montanejos
1,Els Ports,12080,Morella
7,El Alto Palancia,12081,Navajas
6,La Plana Baixa,12082,Nules
1,Els Ports,12083,Olocau del Rey
6,La Plana Baixa,12084,Onda
5,La Plana Alta,12085,Orpesa
1,Els Ports,12087,Palanques
7,El Alto Palancia,12088,Pavías
3,El Baix Maestrat,12089,Peníscola
7,El Alto Palancia,12090,Pina de Montalgrao
1,Els Ports,12091,Portell de Morella
8,El Alto Mijares,12092,Puebla de Arenoso
3,El Baix Maestrat,12093,"Pobla de Benifassà, la"
5,La Plana Alta,12094,"Pobla Tornesa, la"
6,La Plana Baixa,12095,Ribesalbes
3,El Baix Maestrat,12096,Rossell
7,El Alto Palancia,12097,Sacañet
3,El Baix Maestrat,12098,"Salzadella, la"
3,El Baix Maestrat,12099,Sant Jordi
3,El Baix Maestrat,12100,Sant Mateu
3,El Baix Maestrat,12101,San Rafael del Río
3,El Baix Maestrat,12102,Santa Magdalena de Pulpis
5,La Plana Alta,12103,"Serratella, la"
7,El Alto Palancia,12104,Segorbe
5,La Plana Alta,12105,Sierra Engarcerán
7,El Alto Palancia,12106,Soneja
7,El Alto Palancia,12107,Sot de Ferrer
6,La Plana Baixa,12108,Suera
6,La Plana Baixa,12109,Tales
7,El Alto Palancia,12110,Teresa
2,L'Alt Maestrat,12111,Tírig
1,Els Ports,12112,Todolella
8,El Alto Mijares,12113,Toga
7,El Alto Palancia,12114,Torás
7,El Alto Palancia,12115,"Toro, el"
8,El Alto Mijares,12116,Torralba del Pinar
5,La Plana Alta,12117,Torreblanca
8,El Alto Mijares,12118,Torrechiva
2,L'Alt Maestrat,12119,"Torre d'En Besora, la"
5,La Plana Alta,12120,"Torre d'en Doménec, la"
3,El Baix Maestrat,12121,Traiguera
4,L'Alcalatén,12122,"Useres, les"
8,El Alto Mijares,12123,Vallat
