CANDIDATO_COD,COD_COMARCA,VOTOS
1,1,0
1,2,1
1,3,19
1,4,5
1,5,54
1,6,45
1,7,5
1,8,1
1,9,0
1,10,5
1,11,28
1,12,24
1,13,58
1,14,87
1,15,342
1,16,26
1,17,12
1,18,9
1,19,2
1,20,41
1,21,17
1,22,3
1,23,12
1,24,7
1,25,15
1,26,11
1,27,23
1,28,10
1,29,38
1,30,31
1,31,25
1,32,84
1,33,40
1,34,38
3,1,1
3,2,1
3,3,7
3,4,0
3,5,12
3,6,9
3,7,2
3,8,0
3,9,0
3,10,1
3,11,11
3,12,2
3,13,9
3,14,17
3,15,39
3,16,13
3,17,1
3,18,0
3,19,1
3,20,27
3,21,1
3,22,2
3,23,7
3,24,4
3,25,5
3,26,2
3,27,11
3,28,4
3,29,7
3,30,7
3,31,7
3,32,26
3,33,9
3,34,15
4,1,0
4,2,2
4,3,5
4,4,1
4,5,13
4,6,18
4,7,2
4,8,2
4,9,0
4,10,2
4,11,6
4,12,6
4,13,15
4,14,24
4,15,20
4,16,15
4,17,4
4,18,1
4,19,0
4,20,18
4,21,11
4,22,1
4,23,10
4,24,6
4,25,4
4,26,2
4,27,7
4,28,2
4,29,13
4,30,10
4,31,17
4,32,22
4,33,25
4,34,42
5,1,3
5,2,4
5,3,25
5,4,3
5,5,70
5,6,82
5,7,6
5,8,3
5,9,2
5,10,7
5,11,28
5,12,19
5,13,48
5,14,99
5,15,174
5,16,52
5,17,7
5,18,9
5,19,4
5,20,58
5,21,19
5,22,3
5,23,25
5,24,35
5,25,34
5,26,5
5,27,27
5,28,24
5,29,39
5,30,26
5,31,41
5,32,113
5,33,73
5,34,55
8,1,1105
8,2,2054
8,3,13970
8,4,3337
8,5,43466
8,6,38593
8,7,6677
8,8,1450
8,9,692
8,10,5085
8,11,32637
8,12,15993
8,13,45438
8,14,63232
8,15,173733
8,16,35423
8,17,7601
8,18,8718
8,19,2211
8,20,52823
8,21,17663
8,22,4394
8,23,17908
8,24,21994
8,25,37978
8,26,6385
8,27,22199
8,28,10624
8,29,33981
8,30,25029
8,31,27773
8,32,81906
8,33,56065
8,34,63446
9,1,0
9,2,0
9,3,2
9,4,4
9,5,16
9,6,10
9,7,0
9,8,1
9,9,0
9,10,0
9,11,3
9,12,7
9,13,15
9,14,35
9,15,26
9,16,11
9,17,0
9,18,4
9,19,1
9,20,8
9,21,3
9,22,1
9,23,2
9,24,0
9,25,6
9,26,0
9,27,5
9,28,3
9,29,3
9,30,5
9,31,10
9,32,20
9,33,17
9,34,15
10,1,0
10,2,0
10,3,8
10,4,1
10,5,30
10,6,22
10,7,1
10,8,2
10,9,0
10,10,2
10,11,11
10,12,9
10,13,17
10,14,32
10,15,85
10,16,19
10,17,8
10,18,1
10,19,2
10,20,20
10,21,3
10,22,1
10,23,7
10,24,9
10,25,24
10,26,12
10,27,88
10,28,10
10,29,102
10,30,501
10,31,56
10,32,85
10,33,51
10,34,181
11,1,4
11,2,2
11,3,67
11,4,14
11,5,54
11,6,242
11,7,8
11,8,3
11,9,1
11,10,11
11,11,310
11,12,93
11,13,341
11,14,437
11,15,908
11,16,456
11,17,7
11,18,16
11,19,4
11,20,461
11,21,149
11,22,10
11,23,85
11,24,66
11,25,223
11,26,13
11,27,35
11,28,2
11,29,41
11,30,53
11,31,30
11,32,50
11,33,37
11,34,36
12,1,3
12,2,2
12,3,14
12,4,4
12,5,62
12,6,36
12,7,3
12,8,0
12,9,0
12,10,3
12,11,36
12,12,9
12,13,40
12,14,70
12,15,330
12,16,29
12,17,6
12,18,4
12,19,2
12,20,80
12,21,19
12,22,3
12,23,24
12,24,11
12,25,38
12,26,11
12,27,33
12,28,22
12,29,34
12,30,24
12,31,17
12,32,89
12,33,46
12,34,51
13,1,1
13,2,1
13,3,4
13,4,4
13,5,16
13,6,9
13,7,2
13,8,0
13,9,0
13,10,0
13,11,5
13,12,4
13,13,5
13,14,12
13,15,34
13,16,4
13,17,1
13,18,1
13,19,0
13,20,5
13,21,4
13,22,1
13,23,1
13,24,8
13,25,6
13,26,0
13,27,7
13,28,3
13,29,57
13,30,20
13,31,6
13,32,27
13,33,23
13,34,22
14,1,0
14,2,1
14,3,26
14,4,4
14,5,37
14,6,34
14,7,2
14,8,0
14,9,0
14,10,2
14,11,12
14,12,10
14,13,16
14,14,30
14,15,52
14,16,16
14,17,7
